Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 15:48:48,,,174.75,522,AT
14.02.20 15:48:48,,,174.75,500,AT
14.02.20 15:48:48,,,174.75,263,AT
14.02.20 15:48:48,,,174.70,350,AT
14.02.20 15:48:48,,,174.70,170,AT
14.02.20 15:48:48,,,174.70,100,AT
14.02.20 15:48:48,,,174.70,522,AT
14.02.20 15:48:48,,,174.70,188,AT
14.02.20 15:48:48,,,174.70,188,AT
14.02.20 15:48:48,,,174.70,283,AT
14.02.20 15:48:48,,,174.70,257,AT
14.02.20 15:48:48,,,174.65,184,AT
14.02.20 15:48:48,,,174.65,198,AT
14.02.20 15:48:48,,,174.65,350,AT
14.02.20 15:48:48,,,174.65,380,AT
14.02.20 15:48:48,,,174.65,522,AT
14.02.20 15:48:48,,,174.65,500,AT
14.02.20 15:48:48,,,174.65,282,AT
14.02.20 15:48:48,,,174.60,140,AT
14.02.20 15:48:48,,,174.60,288,AT
14.02.20 15:48:48,,,174.60,522,AT
14.02.20 15:48:48,,,174.60,269,AT
14.02.20 15:48:48,,,174.55,145,AT
14.02.20 15:48:48,,,174.55,288,AT
14.02.20 15:48:48,,,174.55,500,AT
14.02.20 15:48:48,,,174.55,522,AT
14.02.20 15:48:33,,,174.55,101,AT
14.02.20 15:48:33,,,174.60,418,AT
14.02.20 15:48:16,,,174.65,420,AT
14.02.20 15:48:16,,,174.65,230,AT
14.02.20 15:48:16,,,174.65,168,AT
14.02.20 15:48:08,,,174.65,23,AT
14.02.20 15:48:08,,,174.65,79,AT
14.02.20 15:48:08,,,174.70,102,AT
14.02.20 15:48:08,,,174.70,643,AT
14.02.20 15:48:05,,,174.75,270,AT
14.02.20 15:48:04,,,174.80,55,AT
14.02.20 15:48:04,,,174.80,527,AT
14.02.20 15:48:04,,,174.80,380,AT
14.02.20 15:48:04,,,174.80,231,AT
14.02.20 15:48:04,,,174.80,17,AT
14.02.20 15:48:04,,,174.80,295,AT
14.02.20 15:48:04,,,174.80,108,AT
14.02.20 15:48:04,,,174.80,177,AT
14.02.20 15:48:04,,,174.80,572,AT
14.02.20 15:48:04,,,174.80,"2,413",AT
14.02.20 15:48:04,,,174.80,684,AT
